,team,position,market_value
77,Girona FC,Right-Back,11000000.0
78,RCD Espanyol Barcelona,Central Midfield,23500000.0
79,RCD Espanyol Barcelona,Centre-Back,8800000.0
80,RCD Espanyol Barcelona,Centre-Forward,13500000.0
81,RCD Espanyol Barcelona,Defensive Midfield,4500000.0
82,RCD Espanyol Barcelona,Goalkeeper,9400000.0
83,RCD Espanyol Barcelona,Left Winger,18000000.0
84,RCD Espanyol Barcelona,Left-Back,9500000.0
85,RCD Espanyol Barcelona,Right-Back,5000000.0
86,RCD Mallorca,Attacking Midfield,10200000.0
87,RCD Mallorca,Central Midfield,7800000.0
88,RCD Mallorca,Centre-Back,9900000.0
89,RCD Mallorca,Centre-Forward,18500000.0
90,RCD Mallorca,Defensive Midfield,1800000.0
91,RCD Mallorca,Goalkeeper,11300000.0
92,RCD Mallorca,Left Winger,3200000.0
93,RCD Mallorca,Left-Back,2400000.0
94,RCD Mallorca,Right-Back,6500000.0
95,Rayo Vallecano,Attacking Midfield,8200000.0
96,Rayo Vallecano,Central Midfield,15000000.0
97,Rayo Vallecano,Centre-Back,10100000.0
98,Rayo Vallecano,Centre-Forward,19200000.0
99,Rayo Vallecano,Goalkeeper,5100000.0
100,Rayo Vallecano,Left Winger,6800000.0
101,Rayo Vallecano,Left-Back,8300000.0
102,Rayo Vallecano,Right Winger,7000000.0
103,Rayo Vallecano,Right-Back,2800000.0
104,Real Betis Balompié,Attacking Midfield,67000000.0
105,Real Betis Balompié,Central Midfield,2500000.0
106,Real Betis Balompié,Centre-Back,32500000.0
107,Real Betis Balompié,Centre-Forward,36000000.0
108,Real Betis Balompié,Defensive Midfield,45000000.0
109,Real Betis Balompié,Goalkeeper,18000000.0
110,Real Betis Balompié,Left Winger,15000000.0
111,Real Betis Balompié,Left-Back,23000000.0
112,Real Betis Balompié,Right Winger,13500000.0
113,Real Betis Balompié,Right-Back,7500000.0
114,Real Madrid,Central Midfield,179000000.0
115,Real Madrid,Centre-Back,165000000.0
116,Real Madrid,Centre-Forward,34000000.0
117,Real Madrid,Defensive Midfield,80000000.0
118,Real Madrid,Goalkeeper,62500000.0
119,Real Madrid,Left Winger,132000000.0
120,Real Madrid,Left-Back,40000000.0
121,Real Madrid,Right Winger,117000000.0
122,Real Madrid,Right-Back,28000000.0
123,Real Sociedad,Attacking Midfield,7000000.0
124,Real Sociedad,Central Midfield,80000000.0
125,Real Sociedad,Centre-Back,71000000.0
126,Real Sociedad,Centre-Forward,53000000.0
127,Real Sociedad,Defensive Midfield,38000000.0
128,Real Sociedad,Goalkeeper,22300000.0
129,Real Sociedad,Left Winger,70500000.0
130,Real Sociedad,Left-Back,9000000.0
131,Real Sociedad,Right Winger,9000000.0
132,Real Sociedad,Right-Back,11500000.0
133,Real Valladolid CF,Central Midfield,11500000.0
134,Real Valladolid CF,Centre-Back,9000000.0
135,Real Valladolid CF,Centre-Forward,13700000.0
136,Real Valladolid CF,Defensive Midfield,3000000.0
137,Real Valladolid CF,Goalkeeper,4700000.0
138,Real Valladolid CF,Left Winger,7000000.0
139,Real Valladolid CF,Left-Back,4300000.0
140,Real Valladolid CF,Right Winger,9300000.0
141,Real Valladolid CF,Right-Back,2650000.0
142,Sevilla FC,Attacking Midfield,7500000.0
143,Sevilla FC,Central Midfield,40000000.0
144,Sevilla FC,Centre-Back,28000000.0
145,Sevilla FC,Centre-Forward,53000000.0
146,Sevilla FC,Defensive Midfield,8000000.0
147,Sevilla FC,Goalkeeper,23000000.0
148,Sevilla FC,Left Winger,6000000.0
149,Sevilla FC,Left-Back,36000000.0
150,Sevilla FC,Right Winger,53000000.0
151,Sevilla FC,Right-Back,22000000.0
152,UD Almería,Central Midfield,12000000.0
153,UD Almería,Centre-Back,16400000.0
154,UD Almería,Centre-Forward,8700000.0
155,UD Almería,Defensive Midfield,7000000.0
156,UD Almería,Goalkeeper,4200000.0
157,UD Almería,Left Winger,17000000.0
158,UD Almería,Left-Back,6500000.0
159,UD Almería,Right Winger,6000000.0
160,UD Almería,Right-Back,7700000.0
161,UD Almería,Second Striker,1500000.0
162,Valencia CF,Central Midfield,62000000.0
163,Valencia CF,Centre-Back,18000000.0
164,Valencia CF,Centre-Forward,19000000.0
165,Valencia CF,Defensive Midfield,25000000.0
166,Valencia CF,Goalkeeper,22700000.0
167,Valencia CF,Left Winger,27000000.0
168,Valencia CF,Left-Back,42500000.0
169,Valencia CF,Right Winger,6000000.0
170,Valencia CF,Right-Back,15000000.0
171,Villarreal CF,Central Midfield,48000000.0
172,Villarreal CF,Centre-Back,67000000.0
173,Villarreal CF,Centre-Forward,94000000.0
174,Villarreal CF,Defensive Midfield,8000000.0
175,Villarreal CF,Goalkeeper,7700000.0
176,Villarreal CF,Left Winger,10000000.0
177,Villarreal CF,Left-Back,28000000.0
178,Villarreal CF,Right Winger,70000000.0
179,Villarreal CF,Right-Back,27500000.0
